id,name,category,estimatedPrice,damage,penetrationPercent,maxStack,rank,description,source_status,source_file,source_note
special-ammo-special-fmj-ammo,Special FMJ Ammo,Special Ammo,1000,75,100,999,,Special ammunition that can fit into different types of weapons.,screenshot-verified,evidence-inbox/ammo/special-fmj-ammo__stats__2026-09-16_115812.png,
high-caliber-rifle-ammo-high-caliber-rifle-hp-ammo,High Caliber Rifle HP Ammo,High Caliber Rifle Ammo,350,46,-25,999,,Hollow point variant of high-caliber rifle ammo. Lots of stopping power – and pain.,screenshot-verified,evidence-inbox/ammo/high-caliber-rifle-hp__stats__2026-09-13_141544.png,
high-caliber-rifle-ap-ammo,High Caliber Rifle AP Ammo,High Caliber Rifle Ammo,300,26,50,999,3,Armor piercing variant of high-caliber rifle ammo. A nice tactical advantage.,screenshot-verified,evidence-inbox/ammo/high-caliber-rifle-ap__stats__2026-09-13_141718.png,
high-caliber-rifle-fmj-ammo,High Caliber Rifle FMJ Ammo,High Caliber Rifle Ammo,150,30,0,999,1,"High-caliber, full metal jacket ammo. As reliable as they come.",screenshot-verified,evidence-inbox/ammo/high-caliber-rifle-fmj-ammo__stats__2026-09-19_221757.png,
shotgun-ammo-shotgun-hp-ammo,Shotgun HP Ammo,Shotgun Ammo,180,6 x 6 = 36,-25,999,,"Hollow point ammunition for shotguns. Even if I miss, I don't miss.",screenshot-verified,evidence-inbox/ammo/shotgun-hp__stats__2026-09-13_141501.png,
shotgun-buckshot-ammo,Shotgun Buckshot Ammo,Shotgun Ammo,60,6 x 5 = 30,0,999,1,Ammunition for shotguns and guns with spread shots.,screenshot-verified,evidence-inbox/ammo/shotgun-buckshot-ammo__stats__2026-09-18_084734.png,
shotgun-ap-ammo,Shotgun AP Ammo,Shotgun Ammo,400,6 x 4 = 24,50,999,2,Armor piercing rounds for shotguns. They might as well be wearing rubakhas.,screenshot-verified,evidence-inbox/ammo/shotgun-ap__stats__2026-09-13_141705.png,
rifle-ammo-rifle-hp-ammo,Rifle HP Ammo,Rifle Ammo,280,25,-25,999,,Hollow point ammunition for rifles. Don't need great aim when you got this.,screenshot-verified,evidence-inbox/ammo/rifle-hp__stats__2026-09-13_141753.png,
rifle-fmj-ammo,Rifle FMJ Ammo,Rifle Ammo,120,17,0,999,1,Standard ammunition for rifles.,screenshot-verified,evidence-inbox/ammo/rifle-fmj-ammo__stats__2026-09-19_221953.png,
rifle-ap-ammo,Rifle AP Ammo,Rifle Ammo,240,14,50,999,3,Armor piercing ammunition. Good for mowing down some well-equipped enemies.,screenshot-verified,evidence-inbox/ammo/rifle-ap__stats__2026-09-13_141731.png,
pistol-ammo-pistol-hp-ammo,Pistol HP Ammo,Pistol Ammo,60,15,-25,999,,"Hollow point ammunition, perfect for self-defense.",screenshot-verified,evidence-inbox/ammo/pistol-hp__stats__2026-09-13_141651.png,
pistol-fmj-ammo,Pistol FMJ Ammo,Pistol Ammo,30,10,0,999,1,"Ammunition made for pistols, submachine guns, repeaters etc.",screenshot-verified,evidence-inbox/ammo/pistol-fmj-ammo__stats__2026-09-18_084728.png,
pistol-ap-ammo,Pistol AP Ammo,Pistol Ammo,100,8,50,999,2,"Armor piercing ammo. They may have gear, but that doesn't mean they're safe.",screenshot-verified,evidence-inbox/ammo/pistol-ap__stats__2026-09-13_141636.png,
