id,name,workbench,ingredients,source_status,source_file,source_note
ifak-medkit,IFAK Medkit,medical,AI-2 Army Medkit x1; Advanced Bandage x1; Fabric Scrap x2,screenshot-verified,evidence-inbox/crafting/medical/ifak-medkit__recipe__2026-09-18_205130.png,
ai-2-army-medkit,AI-2 Army Medkit,medical,AI-2 Medkit x1; Morphine x1; Chemical Residue x2,screenshot-verified,evidence-inbox/crafting/medical/ai-2-army-medkit__recipe__2026-09-18_205122.png,
advanced-bandage,Advanced Bandage,medical,Bandage x2; Glue x1; Medicinal Herb x1,screenshot-verified,evidence-inbox/crafting/medical/advanced-bandage__recipe__2026-09-18_205115.png,
stimpack,Stimpack,medical,Morphine x1; Headache Pills x1; Chemical Residue x2,screenshot-verified,evidence-inbox/crafting/medical/stimpack__recipe__2026-09-18_205108.png,
ai-2-medkit,AI-2 Medkit,medical,Plastic Scrap x2; Chemical Residue x2; Morphine x1,screenshot-verified,evidence-inbox/crafting/medical/ai-2-medkit__recipe__2026-09-18_205059.png,
morphine,Morphine,medical,Metal Scrap x1; Plastic Scrap x1; Medicinal Herb x1,screenshot-verified,evidence-inbox/crafting/medical/morphine__recipe__2026-09-18_205050.png,
moonshine,Moonshine,medical,Canteen x1; Chemical Residue x1; Overripe Potato x1,screenshot-verified,evidence-inbox/crafting/medical/moonshine__recipe__2026-09-18_205043.png,
bandage,Bandage,medical,Fabric Scrap x4; Moonshine x1,screenshot-verified,evidence-inbox/crafting/medical/bandage__recipe__2026-09-18_205033.png,
expert-gun-repair-kit,Expert Gun Repair Kit,weapon,Advanced Gun Repair Kit x1; Advanced Mechanical Components x1; Screwdriver x1; Hammer x1; Plier x1,screenshot-verified,evidence-inbox/crafting/weapon/expert-gun-repair-kit__recipe__2026-09-18_205358.png,
advanced-gun-repair-kit,Advanced Gun Repair Kit,weapon,Basic Gun Repair Kit x1; Advanced Mechanical Components x1; Screwdriver x1; Hammer x1,screenshot-verified,evidence-inbox/crafting/weapon/advanced-gun-repair-kit__recipe__2026-09-18_205350.png,
basic-gun-repair-kit,Basic Gun Repair Kit,weapon,Scrap Gun Repair Kit x1; Mechanical Components x1; Screwdriver x1,screenshot-verified,evidence-inbox/crafting/weapon/basic-gun-repair-kit__recipe__2026-09-18_205344.png,
scrap-gun-repair-kit,Scrap Gun Repair Kit,weapon,Metal Scrap x5; Gun Field Tools x1; Hammer x1,screenshot-verified,evidence-inbox/crafting/weapon/scrap-gun-repair-kit__recipe__2026-09-18_205338.png,
gun-field-tools,Gun Field Tools,weapon,Gun Cleaning Rod x1; Screwdriver x1; Hammer x1,screenshot-verified,evidence-inbox/crafting/weapon/gun-field-tools__recipe__2026-09-18_205332.png,
gun-cleaning-rod,Gun Cleaning Rod,weapon,Metal Scrap x2; Fabric Scrap x2; Gun Lube x1,screenshot-verified,evidence-inbox/crafting/weapon/gun-cleaning-rod__recipe__2026-09-18_205326.png,
gun-lube,Gun Lube,weapon,Chemical Residue x1; WG-40 x1,screenshot-verified,evidence-inbox/crafting/weapon/gun-lube__recipe__2026-09-18_205320.png,
heavy-armor-repair-kit,Heavy Armor Repair Kit,armour,Medium Armor Repair Kit x1; Armor Plate x1; Field Repair Kit x1; Glue x1; Plier x1,screenshot-verified,evidence-inbox/crafting/armour/heavy-armor-repair-kit__recipe__2026-09-18_205453.png,
medium-armor-repair-kit,Medium Armor Repair Kit,armour,Scavenger Armor Repair Kit x1; Kevlar Weave x1; Glue x1; Plier x1,screenshot-verified,evidence-inbox/crafting/armour/medium-armor-repair-kit__recipe__2026-09-18_205448.png,
scavenger-armor-repair-kit,Scavenger Armor Repair Kit,armour,Tattered Armor Repair Kit x1; Field Repair Kit x1; Plier x1,screenshot-verified,evidence-inbox/crafting/armour/scavenger-armor-repair-kit__recipe__2026-09-18_205442.png,
tattered-armor-repair-kit,Tattered Armor Repair Kit,armour,Sewing Kit x1; Glue x1; Plier x1,screenshot-verified,evidence-inbox/crafting/armour/tattered-armor-repair-kit__recipe__2026-09-18_205436.png,
sewing-kit,Sewing Kit,armour,Metal Scrap x2; Field Repair Kit x1; Plier x1,screenshot-verified,evidence-inbox/crafting/armour/sewing-kit__recipe__2026-09-18_205431.png,
field-repair-kit,Field Repair Kit,armour,Fabric Scrap x2; Metal Scrap x2; Glue x1,screenshot-verified,evidence-inbox/crafting/armour/field-repair-kit__recipe__2026-09-18_205425.png,
glue,Glue,armour,Plastic Scrap x2; Chemical Residue x2,screenshot-verified,evidence-inbox/crafting/armour/glue__recipe__2026-09-18_205415.png,
