id,name,classification,estimatedPrice,rank,maxStack,stackable,effects_health,effects_bleed,effects_radiation,effects_hunger,effects_thirst,notes,image,source_status,source_file,source_note
special-ammo-special-fmj-ammo,Special FMJ Ammo,ammunition,1000,,,,,,,,,,evidence-inbox/items/pre-mist-gold-wristwatch__icon__2026-09-21.png,screenshot-verified,evidence-inbox/ammo/special-fmj-ammo__stats__2026-09-16_115812.png,Verification synchronized from canonical database record
high-caliber-rifle-ammo-high-caliber-rifle-hp-ammo,High Caliber Rifle HP Ammo,ammunition;vendor-item,350,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/high-caliber-rifle-hp__stats__2026-09-13_141544.png,Verification synchronized from canonical database record
pistol-ammo-pistol-hp-ammo,Pistol HP Ammo,ammunition;vendor-item,60,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/pistol-hp__stats__2026-09-13_141651.png,Verification synchronized from canonical database record
rifle-ammo-rifle-hp-ammo,Rifle HP Ammo,ammunition;vendor-item,280,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/rifle-hp__stats__2026-09-13_141753.png,Verification synchronized from canonical database record
shotgun-ammo-shotgun-hp-ammo,Shotgun HP Ammo,ammunition;vendor-item,180,,,,,,,,,,,screenshot-verified,evidence-inbox/ammo/shotgun-hp__stats__2026-09-13_141501.png,Verification synchronized from canonical database record
2hmg,2HMG,weapon,,,,,,,,,,,,,,
2hmg-long,2HMG (Long),weapon,100000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/2hmg-long__stats__2026-09-19_084756.png,Verification synchronized from canonical High Caliber Rifles record
2hmg-short,2HMG (Short),weapon,100000,,,,,,,,,,,screenshot-verified,evidence-inbox/weapons/2hmg-short__stats__2026-09-19_084341.png,Verification synchronized from canonical High Caliber Rifles record
2hmg-ergonomic-pistol-grip,2HMG Ergonomic Pistol Grip,vendor-item,2500,3,,FALSE,,,,,,,evidence-inbox/attachments/2hmg-ergonomic-pistol-grip__tooltip__2026-09-17_201901.png,screenshot-verified,evidence-inbox/attachments/2hmg-ergonomic-pistol-grip__tooltip__2026-09-17_201901.png,
2hmg-modern-polymer-stock-module,2HMG Modern Polymer Stock Module,vendor-item,2500,3,,FALSE,,,,,,,,screenshot-verified,evidence-inbox/attachments/2hmg-modern-polymer-stock-module__tooltip__2026-09-17_201233.png,
2hmg-railed-handguard,2HMG Railed Handguard,vendor-item,1250,2,,,,,,,,,,screenshot-verified,evidence-inbox/attachments/handguards/2hmg-railed-handguard__tooltip__2026-09-17_201240.png,Direct in-game attachment tooltip screenshot.
3-line-nagant-full-stock,3-Line Nagant (Full Stock),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/3-Line Nagant (Full Stock).png,Verification synchronized from canonical High Caliber Rifles record
3-line-nagant-infantry,3-Line Nagant (Infantry),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/3-Line Nagant (Infantry).png,Verification synchronized from canonical High Caliber Rifles record
3-line-nagant-obrez,3-Line Nagant (Obrez),weapon,,,,,,,,,,,,screenshot-verified,images/weapons/3-Line Nagant (Obrez).png,Verification synchronized from canonical High Caliber Rifles record
3-line-nagant-stockless,3-Line Nagant (Stockless),weapon,,,,,,,,,,,,screenshot-verified,user-provided screenshot (2026-09-19),Verification synchronized from canonical High Caliber Rifles record
63-dragoon,63 Dragoon,weapon,,,,,,,,,,,,screenshot-verified,images/weapons/63 Dragoon.png,Verification synchronized from canonical High Caliber Rifles record
