id,name,category,tier,ammo,damage,rpm,range,accuracy,recoil,handling,ergonomics,reload,image,source_status,source_file,source_note
pm-nikolay,PM Nikolay,Pistols,Scrap,Pistol Ammo,10,600,15,32,36,30,33,1,images/weapons/PM Nikolay.png,screenshot-verified,images/weapons/PM Nikolay.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
pm-nikolay-pb,PM Nikolay PB,Pistols,Scrap,Pistol Ammo,11,600,15,35,36,30,33,1,images/weapons/PM Nikolay PB.png,screenshot-verified,images/weapons/PM Nikolay PB.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
leon-1895,Leon 1895,Pistols,Scrap,Pistol Ammo,15,75,17,45,36,10,24,1,images/weapons/Leon 1895.png,screenshot-verified,images/weapons/Leon 1895.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
leon-1895-long,Leon 1895 (Long),Pistols,Scrap,Pistol Ammo,15,75,18,55,31,12,20,1,images/weapons/Leon 1895 (Long).png,screenshot-verified,images/weapons/Leon 1895 (Long).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
leon-1895-short,Leon 1895 (Short),Pistols,Scrap,Pistol Ammo,15,75,16,40,40,6,30,1,images/weapons/Leon 1895 (Short).png,screenshot-verified,images/weapons/Leon 1895 (Short).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
medved-monster,Medved Monster,Pistols,Scrap,Pistol Ammo,11,450,16,38,38,14,14,1,images/weapons/Medved Monster.png,screenshot-verified,images/weapons/Medved Monster.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
medved-monster-silenced,Medved Monster (Silenced),Pistols,Scrap,Pistol Ammo,10,450,16,35,37,14,12,1,images/weapons/Medved Monster (Silenced).png,screenshot-verified,evidence-inbox/weapons/medved-monster-silenced__stats__2026-09-19_144317.png,Authoritative in-game screenshot. Repair Class and base yellow stats verified; green/red modifiers and durability excluded.
bahadir-920,Bahadir 920,Pistols,Basic,Pistol Ammo,10,600,18,45,30,18,15,1.5,images/weapons/Bahadir 920.png,screenshot-verified,images/weapons/Bahadir 920.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
bahadir-918-short,Bahadir 918 (Short),Pistols,Basic,Pistol Ammo,10,700,17,37,35,28,15,1,images/weapons/Bahadir 918 (Short).png,screenshot-verified,images/weapons/Bahadir 918 (Short).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
bahadir-918-long,Bahadir 918 (Long),Pistols,Basic,Pistol Ammo,10,700,18,45,25,30,14,1,images/weapons/Bahadir 918 (Long).png,screenshot-verified,images/weapons/Bahadir 918 (Long).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
svarsh-miracle-short,Svarsh Miracle (Short),Shotguns,Scrap,Shotgun Ammo,30,100,14,13,65,8,8,1,images/weapons/Svarsh Miracle (Short).png,screenshot-verified,images/weapons/Svarsh Miracle (Short).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
svarsh-miracle-long,Svarsh Miracle (Long),Shotguns,Scrap,Shotgun Ammo,30,150,16,18,61,8,4,1,images/weapons/Svarsh Miracle (Long).png,screenshot-verified,images/weapons/Svarsh Miracle (Long).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
pm-12-70-short,PM 12-70 (Short),Shotguns,Basic,Shotgun Ammo,30,90,14,12,67,4,15,1,images/weapons/PM 12-70 (Short).png,screenshot-verified,evidence-inbox/weapons/pm-12-70-short__stats__2026-09-19_090151.png,Authoritative in-game screenshot. Repair Class and base yellow stats verified; green/red modifiers and durability excluded.
pm-12-70-long,PM 12-70,Shotguns,Basic,Shotgun Ammo,30,90,16,14,63,4,12,1,images/weapons/PM 12-70.png,screenshot-verified,images/weapons/PM 12-70.png,Live-branch in-game screenshot verified 2026-09-19. Base yellow stats and Repair Class used; modifiers and durability excluded.
pm-12-70-long-extended,PM 12-70 (Extended),Shotguns,Basic,Shotgun Ammo,30,90,16,14,59,4,10,1,images/weapons/PM 12-70 (Extended).png,screenshot-verified,images/weapons/PM 12-70 (Extended).png,Live-branch in-game screenshot verified 2026-09-19. Base yellow stats and Repair Class used; modifiers and durability excluded.
zavod-34,Zavod 34,Shotguns,Scrap,Shotgun Ammo,30,600,16,18,53,4,8,1.1,images/weapons/Zavod 34.png,screenshot-verified,images/weapons/Zavod 34.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
zavod-34-short,Zavod 34 (Short),Shotguns,Scrap,Shotgun Ammo,30,600,12,12,59,4,14,1.3,images/weapons/Zavod 34 (Short) - durability 23.png,screenshot-verified,images/weapons/Zavod 34 (Short) - durability 23.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
borealis-12,Borealis 12,Shotguns,Advanced,Shotgun Ammo,30,500,16,14,52,8,4,1,,screenshot-verified,evidence-inbox/weapons/borealis-12__stats__2026-09-19_141353.png,Borealis 12 verified separately from Borealis 12-TAK. Base beige stats and Repair Class used; green modifiers and durability excluded.
borealis-12-tak,Borealis 12-TAK,Shotguns,Advanced,Shotgun Ammo,30,500,18,10,55,7,10,1,images/weapons/Borealis 12-TAK.png,screenshot-verified,images/weapons/Borealis 12-TAK.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
mikhail-74-u,Mikhail 74 U,Rifles,Basic,Rifle Ammo,17,700,16,45,39,8,12,1,images/weapons/Mikhail 74 U.png,screenshot-verified,images/weapons/Mikhail 74 U.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
mikhail-47,Mikhail 47,Rifles,Advanced,Rifle Ammo,20,600,18,58,49,14,8,1,images/weapons/Mikhail 47.png,screenshot-verified,images/weapons/Mikhail 47.png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
thread-cutter,Thread Cutter,Rifles,Advanced,Rifle Ammo,17,800,18,68,42,10,10,1,,screenshot-verified,evidence-inbox/weapons/thread-cutter__stats__2026-09-19_084742.png,Base stats transcribed from yellow in-game values; green/red modifier values and durability excluded.
thread-cutter-short,Thread Cutter (Short),Rifles,Advanced,Rifle Ammo,17,900,18,60,38,14,16,1,images/weapons/Thread Cutter (Short).png,screenshot-verified,images/weapons/Thread Cutter (Short).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
m4-svodbonik,Svobodnik M4,Rifles,Advanced,Rifle Ammo,17,700,19,65,44,22,18,1,,screenshot-verified,evidence-inbox/weapons/svobodnik-m4__stats__2026-09-19_144346.png,"Direct in-game screenshot; beige/base values used, attachment modifiers excluded."
svobodnik-m4-long,Svobodnik M4 (Long),Rifles,Advanced,Rifle Ammo,19,700,20,70,41,18,16,1,images/weapons/Svobodnik M4 (Long).png,screenshot-verified,images/weapons/Svobodnik M4 (Long).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
3-line-nagant-stockless,3-Line Nagant (Stockless),High Caliber Rifles,Basic,High Cal Ammo,30,60,18,60,42,4,8,1,images/weapons/3-Line Nagant (Stockless).png,screenshot-verified,user-provided screenshot (2026-09-19),Authoritative in-game screenshot. Repair Class and base yellow stats verified; green/red modifiers and durability excluded.
3-line-nagant-obrez,3-Line Nagant (Obrez),High Caliber Rifles,Basic,High Cal Ammo,30,60,16,50,52,4,12,1,images/weapons/3-Line Nagant (Obrez).png,screenshot-verified,images/weapons/3-Line Nagant (Obrez).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
3-line-nagant-infantry,3-Line Nagant (Infantry),High Caliber Rifles,Basic,High Cal Ammo,30,60,20,68,35,4,6,1,images/weapons/3-Line Nagant (Infantry).png,screenshot-verified,images/weapons/3-Line Nagant (Infantry).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
3-line-nagant-full-stock,3-Line Nagant (Full Stock),High Caliber Rifles,Basic,High Cal Ammo,30,60,21,75,35,4,4,1,images/weapons/3-Line Nagant (Full Stock).png,screenshot-verified,images/weapons/3-Line Nagant (Full Stock).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
bortovka-tinker,Bortovka Tinker,High Caliber Rifles,Scrap,High Cal Ammo,30,100,20,52,41,4,8,1,,screenshot-verified,user-provided screenshot (2026-09-19),Base stats transcribed from yellow in-game values; green/red modifier values and durability excluded.
bortovka-tinker-long-mag,Bortovka Tinker (Long / +Mag),High Caliber Rifles,Scrap,High Cal Ammo,30,100,20,52,41,4,8,1,images/weapons/Bortovka Tinker (Long - +Mag).png,screenshot-verified,images/weapons/Bortovka Tinker (Long - +Mag).png,Base stats transcribed from yellow in-game values; green/red modifier values excluded.
